offer_url,price,currency,num_images,street_address,description,city
https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-litewska-2-pokojowe-l7a6i1,,,21,"ul. Litewska, Wrocław Psie Pole, dolnośląskie","Bez pośredników. Sprzedam mieszkanie 51 m², przy ulicy Litewskiej 12.

- Blok z 2005 roku, 2 osobne pokoje, duża kuchnia, duży balkon.
- Niski czynsz do wspólnoty mieszkaniowej.
- Kuchenka, szafy, komody, pralka są nowe, zostały kupione rok temu.
- 200 metrów do przystanków autobusowych. W pobliżu sklepy, galeria, przychodnia, szkoły, przedszkola.
- Podłączony jest Internet światłowodowy 600 MBit/s z pakietem TV.
- Mieszkanie jest wynajmowane, można podpisać umowę najmu z obecnymi lokatorami.
- Parking przy bloku.
- 8 piętro (ostatnie), nad mieszkaniem jest nadbudówka, a później jest dach.

Zapraszam do kontaktu.",wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-strachowicka-2-pokojowe-j4a6t2,,,12,"ul. Strachowicka, Wrocław Fabryczna, dolnośląskie","2-pokojowe mieszkanie z balkonem | 53 m² | Zieleń, spokój i wygoda | ul. Strachowicka

Jeśli szukasz mieszkania w spokojnej, zielonej okolicy, a jednocześnie z dobrym dostępem do infrastruktury miejskiej — ta oferta jest dla Ciebie.

Na sprzedaż 2-pokojowe, funkcjonalne mieszkanie o powierzchni 53 m², położone na wysokim parterze w kameralnym budynku z 2010 roku, przy ul. Strachowickiej we Wrocławiu.

Mieszkanie jest gotowe do zamieszkania, zadbane i bardzo dobrze zaprojektowane — idealne dla pary, rodziny lub jako bezpieczna inwestycja.

✨ Najważniejsze atuty:

✔ balkon z widokiem na zieleń
✔ oddzielna kuchnia
✔ piwnica w cenie
✔ bezpłatny parking pod budynkiem
✔ cicha, zielona okolica
✔ niska, kameralna zabudowa

📐 Układ pomieszczeń:

jasny salon z wyjściem na balkon

sypialnia

oddzielna kuchnia

łazienka

przedpokój

piwnica przynależna do mieszkania

🏢 Budynek:

rok budowy: 2010

niski blok

brak windy

zadbane części wspólne
📍 Lokalizacja:

Ul. Strachowicka to jedna z najbardziej cenionych lokalizacji dla osób szukających balansu między miastem a naturą:

sklepy, apteka, przychodnia
szybki wyjazd na obwodnicę Wrocławia

parki, stawy, liczne tereny spacerowe

idealne miejsce dla rodzin, osób aktywnych i właścicieli zwierząt 🌿

ℹ️ Informacje dodatkowe:

forma własności: pełna własność

czynsz: ok. 1100 zł

dostępność: do uzgodnienia

sprzedaż bezpośrednio od właściciela

💰 Cena:

710 000 zł – do negocjacji",wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-skwierzynska-3-pokojowe-j3g9r7,,,16,"ul. Skwierzyńska, Wrocław Krzyki, dolnośląskie","BEZPOŚREDNIO OD WŁAŚCICIELA!
Na sprzedaż W PEŁNI ROZKŁADOWE, SŁONECZNE (strona południowo-zachodnia), CIEPŁNE, CICHE mieszkanie 3 pokojowe o pow. 48m2, położone w świetnej lokalizacji, w dzielnicy Krzyki/Stare Miasto, przy ul. Skiwrzyńskiej, blisko SKY TOWERA.
Usytuowane jest na czwartym piętrze (4/10p.), ocieplonego bloku z 1986 roku z nową windą z 2024 roku.
Mieszkanie świeżo po generalnym remoncie wykonanym z najwyższą starannością w wysokim standardzie oraz wysokiej jakości użytych materiałów i sprzętu , wszystkie instalacje elektryczne i wodno- kanalizacyjne zostały wymienione.
Mieszkanie składa się:
- pokój I o pow. 12,9 m2;
- pokój II o pow. 12,1 m2;
- pokój III o pow. 9 m2;
- oddzielnej kuchni z oknem o pow. 5,60 m2;
- łazienki z WC oraz z kabiną prysznicową o pow. 2,70 m2;
- przedpokoju o pow. 5,60 m2;

WSZYSTKIE MEDIA MIEJSKIE! (Ogrzewanie i ciepła woda z sieci miejskiej).
Niski czynsz: 570 zł
PEŁNA WŁASNOŚĆ Z KSIĘGĄ WIECZYSTĄ! (brak jakichkolwiek obciążeń).

Parę kroków do Skytowera, blisko do : Dworca Głównego PKP i PKS, Galerii Wroclavia, Galerii Dominkańskiej , Rynku , Uniwersytetu Ekonomicznego , Szpitala , Aquaparku.
Przystanki tramwajowe i autobusowe w zasięgu kilkuminutowego spaceru.
Mieszkanie znajduje się w pełni rozwiniętej dzielnicy, oferującej dla mieszkańców pełną infrastrukturę.
Ze względu na swoje położenie oraz bliskość komunikacji miejskiej i udogodnień, przyciągnie ono potencjalnych najemców.",wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-oltaszyn-ul-orawska-2-pokojowe-r5o2r0,,,8,"ul. Orawska, Wrocław Ołtaszyn, dolnośląskie",,wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-ul-stanislawa-drabika-3-pokojowe-b3r8v0,,,15,"ul. Stanisława Drabika, Wrocław, dolnośląskie","NA SPRZEDAŻ: Nowoczesne 3-pokojowe mieszkanie z 2 balkonami na Jagodnie!
Zapraszam do zapoznania się z ofertą sprzedaży nowego, przestronnego mieszkania o powierzchni 65,43 m, zlokalizowanego w dynamicznie rozwijającej się dzielnicy Wrocławia-Jagodno (Krzyki). To idealna propozycja dla osób ceniących komfort, nowoczesne rozwiązania oraz doskonałą lokalizację. Opis mieszkania: Powierzchnia: 65,43 m, Salon z aneksem kuchennym i jadalnią: 23,55 m, Pokój 1: 12,67 m, Pokój 2: 10,94 m, Łazienka: 4,77 m, WC: 2,16 m, Garderoba: 1,72 m Przedpokój: 8,41 m. 2 duże balkony (4,45 m i 10 m), wyjście z każdego pokoju! Piętro: 1/5 (winda, szeroka klatka schodowa) Standard deweloperski możliwość własnej aranżacji Nowoczesne okna 3-szybowe z izolacją akustyczną. Antywłamaniowe drzwi Gerda klasy RC2.
Atuty nieruchomości: Nowoczesne osiedle z szerokimi alejkami i zielenią. Cicha i spokojna okolica, idealna dla rodzin. Doskonała komunikacja szybki dojazd do centrum i AOW Bliskość sklepów, restauracji, szkół i przedszkoli. Tylko 5 km do Aquaparku Wrocław i toru kartingowego i 3 km do centrum handlowego z siłownią.
Dodatkowe udogodnienia: miejsce postojowe w garażu podziemnym (35 000 zł), wjazd windą bezpośrednio na poziom -1.
Cena: Mieszkanie: 780 000 zł + 2 miejsca postojowe: 70 000 zł (obligatoryjnie).
Mieszkanie to idealne rozwiązanie dla rodzin, par lub inwestorów szukających nieruchomości w jednej z najbardziej perspektywicznych lokalizacji Wrocławia.
BN Open House, tel: [numer]
Bez prowizji.
Zapraszam do kontaktu i na prezentację!

DODATKOWE INFORMACJE:
Typ własności: własność
Materiał budowlany: silikat
Standard: bardzo dobry
Typ podłogi: beton
Typ ścian: gładź gipsowa
Rodzaj okien: PCV
Łącze internetowe: tak
Liczba linii telefonicznych: 1
Liczba sypialni: 3
Liczba pokoi: 3
Piętro: 1
Liczba pięter: 5
Rok budowy: 2023
Ogrzewanie: inne
Typ balkonu: duży
Typ kuchni: aneks
Czynsz: 700
Typ łazienki: samodzielna
Typ budynku: apartamentowiec
Głośność: ciche
Klatka schodowa: czysta
Typ parkingu: parking podziemny
Stan lokalu: do wykończenia
Ekspozycja: wschód-zachód
Domofon: tak
Ostatnie piętro: nie
Wysokość: 260

DANE KONTAKTOWE:
Open House

Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-ul-michala-baluckiego-4-pokojowe-o3e4z5,,,15,"ul. Michała Bałuckiego, Wrocław, dolnośląskie","NOWA CENA!
PLAC KOŚCIUSZKI/ BAŁUCKIEGO, na sprzedaż mieszkanie 4-pokojowe w zabytkowej kamienicy, w ścisłym centrum miasta. Idealne na kancelarię notarialną, prawniczą, każdą inną biurową, najem krótko lub długoterminowy. Na parterze 4-pietrowego budynku, z wejściem przez okazałą bramę i od podwórka. Mieszkanie ma powierzchnię 82,26 mkw, składa się z 4 dużych pokoi: 14,35 mkw, 22,37 mkw, 15,58 mkw, 13,88 mkw. Jeden pokój z małym aneksem kuchennym. Łazienka z wc o powierzchni 2,75 mkw. Mieszkanie rozkładowe, dwustronne, do pomieszczeń wchodzi się z przedpokoju 13,33 mkw. Wysokość ponad 3 m, co daje poczucie przestrzeni. Puste, do własnej aranżacji, po generalnym remoncie, na podłogach szary gres i wykładzina dywanowa. Do tej pory mieszkanie używane było jako biuro. Wszystkie okna i drzwi nowe. Do mieszkania przynależy piwnica. Ogrzewanie miejskie. Klatka schodowa czysta i zadbana. Cena [numer] zł. Opłaty miesięczne do Zarządcy ( w tym zaliczki na wodę i ogrzewanie) ok 800 zł + prąd i śmieci. Zapraszam na prezentację. BN Open House, Edyta tel: [numer]
Lokal z umową najmu do IX.2025, z możliwością przedłużenia.

DODATKOWE INFORMACJE:
Typ własności: własność
Materiał budowlany: cegła
Standard: dobry
Typ podłogi: wykładzina
Typ ścian: gładź gipsowa
Rodzaj okien: PCV
Łącze internetowe: tak
Liczba linii telefonicznych: 1
Liczba sypialni: 4
Liczba pokoi: 4
Piętro: 0
Liczba pięter: 4
Rok budowy: 1933
Ogrzewanie: miejskie
Piwnica: tak
Typ balkonu: brak
Typ kuchni: otwarta
Czynsz: 800
Typ łazienki: z wc
Typ budynku: kamienica
Głośność: jednostronnie ciche
Klatka schodowa: czysta
Typ parkingu: przy ulicy
Stan lokalu: dobry
Ekspozycja: wschód-zachód
Domofon: tak
Ostatnie piętro: nie
Wysokość: 300

DANE KONTAKTOWE:
Open House

Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-nyska-2-pokojowe-n1v5d0,,,20,"ul. Nyska, Wrocław Tarnogaj, dolnośląskie","Na sprzedaż 2-pokojowe, narożne i bardzo jasne mieszkanie o powierzchni 55 m², położone na 4. piętrze w budynku z windą z 2012 roku.

Lokal znajduje się na osiedlu Innova przy ul. Nyskiej na wrocławskim Tarnogaju i jest gotowy do zamieszkania od zaraz.

Wysoki standard wykończenia, ekspozycja południowo-wschodnia, loggia oraz kameralna klatka schodowa (tylko 3 mieszkania na piętrze).

Pomieszczenia:

salon z aneksem kuchennym (30,8 m2)
sypialnia z szafą w zabudowie (13,2 m2)
łazienka (4,3 m2)
przedpokój z szafą w zabudowie (6,9 m2)
Dodatkowo loggia 4,4 m2.

Mieszkanie wykończone w wysokim standardzie, z dużą dbałością o jakość i funkcjonalność.

Informacje o mieszkaniu:

wysoki sufit - 270cm,
drewniana podłoga w bardzo dobrym stanie (deska barlinecka, dąb naturalny),
w kuchni biała zabudowa na wysoki połysk, z drewnianym blatem oraz szklaną taflą na ścianie nad blatem; sprzęty AGD firmy Electrolux,
w sypialni oraz w przedpokoju pojemne szafy w zabudowie, z lustrzanymi frontami,
w łazience zabudowa na pralkę z pojemną szafką oraz blat pod umywalkę pokryte dębowym fornirem,
cicha okolica i kameralna klatka schodowa - na każdym piętrze znajdują się tylko trzy mieszkania
Do mieszkania przynależy wygodne miejsce postojowe w garażu podziemnym, dodatkowo płatne 40 000zł.

Czynsz wynosi około 800zł.

Mieszkanie gotowe do zamieszkania, dostępne od zaraz.

Sprzedaż prywatna. Nie interesuje mnie współpraca z biurami nieruchomości.",wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-olbin-ul-kard-stefana-wyszynskiego-2-pokojowe-n1s4y4,,,11,"ul. kard. Stefana Wyszyńskiego, Wrocław Ołbin, dolnośląskie","Cena: 749 000 zł
Powierzchnia: 50 m²
Piętro: 1

OPIS NIERUCHOMOŚCI:
Zapraszam do zapoznania się z ofertą wyjątkowego mieszkania w sercu Wrocławia (Śródmieście/Ołbin, ul. Wyszyńskiego).
To idealna propozycja dla osób, które chcą żyć w centrum, ale cenią sobie wygodę (niskie piętro) i absolutną ciszę.

NAJWIĘKSZE ATUTY:
WYGODNE 1. PIĘTRO: Mieszkanie znajduje się na pierwszej kondygnacji mieszkalnej. W kamienicy bez windy to ogromny atut - tylko kilka schodów dzieli Cię od drzwi, co doceni każdy podczas wnoszenia zakupów, walizek czy wózka.

CISZA I ZIELEŃ: Choć budynek znajduje się przy głównym węźle komunikacyjnym, okna mieszkania wychodzą wyłącznie na ciche, zadbane podwórko z dużą ilością zieleni. Nie słychać tu tramwajów ani ulicznego zgiełku.

POŁUDNIOWA EKSPOZYCJA: Mieszkanie jest niezwykle jasne i słoneczne. Światło wpada do wnętrza przez cały dzień, co w połączeniu z wysokimi sufitami daje poczucie ogromnej przestrzeni i pozytywnej energii.

STANDARD ""WEJDŹ I MIESZKAJ"": Lokal po generalnym remoncie (instalacje, gładzie, podłogi). Wnętrze zaprojektowane w ponadczasowym stylu skandynawskim (biel, drewno, szarości).
Nie wymaga żadnych nakładów finansowych na start - oszczędzasz czas i nerwy związane z ekipami remontowymi.

FUNKCJONALNY UKŁAD (50 m²):
- Przestronny salon z miejscem na dużą strefę wypoczynkową i jadalnię.
- Wydzielony, w pełni wyposażony aneks kuchenny (nie dominuje w salonie).
- Ustawna, osobna sypialnia z miejscem na duże łóżko.
- Wydzielona strefa Home Office - idealna do pracy zdalnej przy naturalnym świetle.
- Elegancka łazienka z prysznicem typu Walk-In.

ZADBANA KAMIENICA: Budynek z wyremontowaną, reprezentacyjną fasadą.

DODATKOWE INFORMACJE:
- W salonie duże okno typu portfenetr (balkon francuski) - po otwarciu mieszkanie łączy się z zielenią na zewnątrz.
- Wysokość pomieszczeń typowa dla kamienic - zapewnia lepszą cyrkulację powietrza i poczucie luksusu.
- Pełna własność z Księgą Wieczystą.

LOKALIZACJA: Genialny punkt komunikacyjny!
- Przystanki tramwajowe i autobusowe pod samym budynkiem (bezpośredni dojazd w każdą stronę Wrocławia).
- Spacerem: Ostrów Tumski, Ogród Botaniczny, Rynek, wały nad Odrą.
- W pobliżu: piekarnie, sklepy, Wydział Architektury, pasaż Grunwaldzki.

Sprzedaż bezpośrednia, pośrednikom dziękuję.
Zapraszam do kontaktu telefonicznego i na prezentację.",wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-popowice-ul-legnicka-2-pokojowe-t3c9e9,,,8,"ul. Legnicka, Wrocław Popowice, dolnośląskie",,wroclaw
https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-jableczna-3-pokojowe-o7g8a5,,,13,"ul. Jabłeczna, Wrocław Krzyki, dolnośląskie","WROCŁAW, KRZYKI, GAJ, UL. JABŁECZNA
Na sprzedaż 3 pokojowe mieszkanie z komórką lokatorską, na ostatnim, 11 piętrze, z panoramą na miasto.
Mieszkanie o powierzchni 53,2 mkw, na którą składają się: 3 pokoje (jeden przechodni), oddzielna kuchnia, przedpokój, łazienka z wc. Z przestronnego salonu jest wyjście na spory taras.
Obok mieszkania znajduje się komórka lokatorska i suszarnia. Sprzedaż spółdzielczo-własnościowego prawa do lokalu, z założoną księgą wieczystą. Zarządzane przez spółdzielnię Budowlani. Opłaty miesięczne to 930 zł, w tym ogrzewanie, zaliczki na wodę, gaz. Prąd jest na oddzielnym liczniku. Wszystkie media miejskie. Mieszkanie jest dwustronne, ekspozycja północ-południe.
W pobliżu pełna infrastruktura, Centrum Handlowe Ferio Gaj, supermarkety (Biedronki, Lidl), szkoły, przedszkola, kościół. W pełni rozwinięta dzielnica, tętniąca życiem, oferująca wszystko niezbędne do mieszkania. Zapraszam na prezentację. BN Open House, tel: [numer]
Bez prowizji.

DODATKOWE INFORMACJE:
Typ własności: spółdzielcze własnościowe
Materiał budowlany: wielka płyta
Standard: dobry
Typ podłogi: panele
Typ ścian: gładź gipsowa
Rodzaj okien: PCV
Łącze internetowe: tak
Liczba linii telefonicznych: 1
Liczba sypialni: 3
Liczba pokoi: 3
Piętro: 11
Liczba pięter: 11
Ogrzewanie: miejskie
Piwnica: tak
Typ balkonu: duży
Typ kuchni: widna
Czynsz: 930
Typ łazienki: z wc
Typ budynku: wieżowiec
Głośność: ciche
Klatka schodowa: czysta
Typ parkingu: przy ulicy
Stan lokalu: do odświeżenia
Ekspozycja: północ - południe
Domofon: tak
Winda: tak
Ostatnie piętro: tak
Gaz w budynku: tak
Wysokość: 250

DANE KONTAKTOWE:
Open House

Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",wroclaw
